Filename;Instrument;Professeur;Nom compositeur;Titre de l'œuvre;Langue;Status
2022_02_09_03_1;Violon;György Pauk;Sergueï Prokofiev;Violin Concerto No. 2, Op .63;EN;Online
2022_04_08_04_1;Violon;Barnabás Kelemen;Wolfgang Amadeus Mozart;Violin Concerto No. 3 in G major;EN;Online
2022_04_13_02_1;Violon;Gérard Poulet;Wolfgang Amadeus Mozart;Violin Concerto No. 3 in G major, K.216;FR;Online
2022_04_09_01_1;Violon;Barnabás Kelemen;Camille Saint-Saëns;Violin Concerto No. 3, BB 117 1st movement;EN;Online
2022_02_23_02_1;Violon;Olivier Charlier;Wolfgang Amadeus Mozart;Violin Concerto No. 5 in A major, K. 219;EN;Online
RIAM_Mozart_Violin_Concerto_5_Cooper;Violon;Mia Cooper;Wolfgang Amadeus Mozart;Violin Concerto No. 5 in A major, K. 219;EN;Online
2022_02_23_04_1;Violon;Olivier Charlier;Wolfgang Amadeus Mozart;Violin Concerto No. 5 in A major, K. 219, 1st movement;EN;Online
2022_02_09_01_1;Violon;György Pauk;Wolfgang Amadeus Mozart;Violin Concerto No. 5 in A major, K. 219, 1st, 2nd movements;EN;Online
2022_02_09_05_1;Violon;György Pauk;Wolfgang Amadeus Mozart;Violin Concerto No. 5 in A major, K. 219, 2nd and 3rd movements;EN;Online
2022_04_13_02_1;Violon;Gérard Poulet;Wolfgang Amadeus Mozart;Violin Concerto No. 5 in A major, K.219;FR;Online
2023_02_07_06_01;Violon;Dmitry SITKOVESKY;Max BRUCH;Violin concerto No.1;Anglais;
2022_08_05_05_1;Violon;Jean-Marc Phillips;Henri Wieniawski;Violin Concerto No.2, Op.22  1er Mvt;FR;A post-produire (Olivier)
2023_02_14_02_1;Violon;Alissa MARGULIS;Wolfgang Amadeus MOZART;Violin Concerto No.4 in D Major;Anglais;ÉDITO Hyacinthe
2022_10_26_01_1;Violon;Ning Feng;Wolfgang Amadeus Mozart;Violin Concerto No.5;EN;En cours édito (Iris)
2023_02_16_03_1;Violon;Alissa MARGULIS;Wolfgang Amadeus MOZART;Violin Concerto No.5 in A major;Anglais;ÉDITO Hyacinthe
2023_02_14_01_1;Violon;Alissa MARGULIS;Wolfgang Amadeus MOZART;Violin Concerto No.5 in A Major;Anglais;ÉDITO Hyacinthe
2023_02_15_04_1;Violon;Alissa MARGULIS;Wolfgang Amadeus MOZART;Violin Concerto No.5 in A major;Anglais;ÉDITO Hyacinthe
2021_04_13_03;Violon;Tedi Papavrami;Piotr Ilitch Tchaïkovski;Violin Concerto, Op. 35, 1st movement;FR;Online
2022_02_23_03_1;Violon;Olivier Charlier;Johann Sebastian Bach;Violin Partita No. 1 in B Minor, BWV 1002: III. Sarabande - Double;EN;Online
2021_02_19_01;Violon;Mihaela Martin;Johann Sebastian Bach;Violin Partita No. 2;EN;Online
2021_04_15_03;Violon;Tedi Papavrami;Johann Sebastian Bach;Violin Partita No. 2 in D Minor;FR;Online
2022_08_05_04_1;Violon;Jean-Marc Phillips;Johann Sebastian Bach;Violin Partita No.2 in D minor, BWV 1004. Final mvt;EN;A post-produire (Olivier)
2023_02_15_06_1;Violon;Alissa MARGULIS;Johann Sebastian BACH;Violin Partita No.3 in E major;Anglais;ÉDITO Hyacinthe
2023_02_16_01_1;Violon;Alissa MARGOULIS;Giuseppe TARTINI;Violin Sonata;Anglais;ÉDITO Hyacinthe
2022_10_29_01_1;Flute;Davide Formisano;César Franck;Violin Sonata;EN;En cours édito (Iris)
2023_02_07_04_01;Violon;Dmitry SITKOVESKY;Franz SCHUBERT;Violin Sonata in A major;Anglais;
2021_02_17_03;Violon;Mihaela Martin;Richard Strauss;Violin Sonata in E-flat Major, Op. 18, 1st movement;EN;Online
2021_02_19_04;Violon;Mihaela Martin;Richard Strauss;Violin Sonata in E-flat Major, Op. 18, 1st movement;EN;Online
2022_04_08_03_1;Alto;Nathan Braude;Johann Sebastian Bach;Violin Sonata in G Major;EN;Online
2023_02_09_01_01;Violon;Dmitry SITKOVETSKY;Giuseppe TARTINI;Violin Sonata in G Minor - The Devil's Trill;Anglais;
2022_02_08_04_1;Violon;György Pauk;Ludwig van Beethoven;Violin Sonata No. 1 in D Major, Op. 12;EN;Online
2021_11_04_04_1;Violoncelle;Anne Gastinel;Johannes Brahms;Violin Sonata No. 1 in G Major, Op. 78, 1st movement;EN;Online
2021_04_15_04;Violon;Tedi Papavrami;Johann Sebastian Bach;Violin Sonata No. 1 in G Minor, Adagio;;Online
2022_04_07_03_1;Violon;Barnabás Kelemen;Sergueï Prokofiev;Violin Sonata No. 1, 3rd movement;EN;Online
2022_02_09_04_1;Violon;György Pauk;Ludwig van Beethoven;Violin Sonata No. 1, Op. 12 in D Major;EN;Online
2022_02_16_01_1;Violon;Augustin Dumay;Ludwig van Beethoven;Violin Sonata No. 10 in G major, Op. 96, 1st movement;EN;Online
2022_02_17_04_1;Violon;Augustin Dumay;Ludwig van Beethoven;Violin Sonata No. 10 in G major, Op. 96, 4th movement;EN;Online
2022_02_17_05_1;Violon;Augustin Dumay;Johannes Brahms;Violin Sonata No. 2 in A major, Op. 100;EN;Online
2021_10_27_06_1;Violon;Fried  Miriam;Eugène Ysaÿe;Violin Sonata No. 2 in A Minor, Op. 27;EN;Online
2020_10_28_5;Violon;Boris Garlitsky;Johann Sebastian Bach;Violin Sonata No. 3 in C major, Adagio and Fugue;EN;Online
2022_02_22_04_1;Violon;Olivier Charlier;Edvard Grieg;Violin Sonata No. 3 in C minor, Op. 45, 1st movement;EN;Online
2022_02_17_06_1;Violon;Augustin Dumay;Johannes Brahms;Violin Sonata No. 3 in D minor, Op. 108;EN;Online
2022_02_08_03_1;Violon;György Pauk;Johannes Brahms;Violin Sonata No. 3 in D minor, Op.108, 2nd, 3rd, 4th movements;EN;Online
2021_10_27_05_1;Violon;Fried  Miriam;Ludwig van Beethoven;Violin Sonata No. 7 in C minor, Op. 30;EN;Online
2021_04_13_04;Violon;Tedi Papavrami;Ludwig van Beethoven;Violin Sonata No. 8;FR;Online
2021_10_29_03_1;Violon;Fried  Miriam;Ludwig van Beethoven;Violin Sonata No. 9 in A Major, Op. 47;EN;Online
2022_10_25_06_1;Violon;Ning Feng;Johann Sebastian Bach;Violin Sonata No.1;EN;Online
2023_02_09_02_01;Violon;Dmitry SITKOVETSKY;Sergey PROKEFIEV;Violin Sonata No.2;Anglais;
2022_02_09_07_1;Violon;György Pauk;Johann Sebastian Bach;Violin Sonata No.2 in A minor, BWV 1003, Grave & Fuga;EN;Online
2023_02_14_03_1;Violon;Alissa MARGULIS;Ludwig van BEETHOVEN;Violin Sonata No.3;Anglais;ÉDITO Hyacinthe
2021_10_27_04_1;Violon;Fried  Miriam;Ludwig van Beethoven;Violin Sonata No.4 in A Minor, Op.23;EN;Online
2021_02_19_02;Violon;Mihaela Martin;Leoš Janáček;Violin Sonata, 1st and 2nd movement;FR;Online
2022_10_27_05_1;Violon;Ning Feng;Johann Sebastian Bach;Violon Sonata No.1 in G minor;EN;Online
2022_08_04_04_1;Piano;Jonas Vitaud;Robert Schumann;Waldszenen, Op.82. - 7. Vogel als Prophet;FR;A post-produire (Olivier)
2022_04_12_04_1;Violon;Gérard Poulet;Eugène Ysaÿe;;FR;Online
2022_04_12_01_1;Violoncelle;Alexander Chaushian;Johann Sebastian Bach;;EN;Online
2022_08_05_01_1;Piano;Isabelle Duha;;;FR;A post-produire (Olivier)
2022_11_02_03_1;Alto;Lars Anders Tomter;Johann Sebastian Bach;;EN;Online
2022_08_04_01_1;Piano;Johan Schmidt;Claude Debussy;;EN;A post-produire (Olivier)
2022_11_02_04_1;Alto;Lars Anders Tomter;Franz Schubert;;EN;Online
2022_04_11_02_1;Violoncelle;Alexander Chaushian;Johann Sebastian Bach;;EN;Online
2022_11_02_01_1;Alto;Lars Anders Tomter;Johannes Brahms;;EN;Online
2022_04_11_01_1;Violoncelle;Alexander Chaushian;Zoltán Kodály;;EN;Online
2022_04_08_05_1;Violon;Barnabás Kelemen;Maurice Ravel;;EN;Online
2023_02_06_01_01;Violon;Dmitry Sitkovesky;Johann Sebastian BACH;;Anglais;
;Violon;Dmitry SITKOVETSKY;;;Français;
2022_04_08_01_1;Alto;Nathan Braude;Béla Bartók;;EN;Online
2022_07_27_01_1;Flute;Julien Beaudiment;Paul Taffanel;;EN;A post-produire (Olivier)
2022_04_07_04_1;Alto;Nathan Braude;Paul Hindemith;;EN;Online
2022_08_03_05_1;Piano;Johan Schmidt;Isaac Albéniz;;FR;A post-produire (Olivier)
2022_11_02_02_1;Alto;Lars Anders Tomter;Franz Schubert;;EN;Online
2022_04_01_ITWA_Chaushian;Violoncelle;Alexander Chaushian;;;;Online
2022_04_01_ITWB_Kelemen;Violon;Barnabás Kelemen;;;EN;Online
ITWL_le_guay;Piano;Claire-Marie Le Guay;;;FR;Problème/ tech issue
2022_11_17_ITWA_Formisano;Flute;Davide Formisano;;;EN;Online
2022_11_17_ITWD_Alexeev;Piano;Dmitri Alexeev;;;EN;Online
2022_04_01_ITWG_Poulet;Violon;Gérard Poulet;;;FR;Online
2022_04_01_ITWG_Pichler;Musique de chambre;Günter Pichler;;;EN;Online
ITWL_Tassy;;Hubert Tassy;;;FR;Problème/ tech issue
2022_11_17_ITWJF_Neuburger;Piano;Jean-Frédéric Neuburger;;;EN;En cours édito (Iris)
2022_11_17_ITWLA_Tomter;Alto;Lars Anders Tomter;;;EN;Online
2022_04_01_ITWN_Braude;Alto;Nathan Braude;;;EN;Online
2022_11_17_ITWN_Goerner;Piano;Nelson Goerner;;;EN;Online
2022_11_17_ITWN_Feng;Violon;Ning Feng;;;EN;Online
ITWL_Vernikov;Violon;Pavel Vernikov;;;FR;Problème/ tech issue
2022_04_01_ITWP_Bernold;Flute;Philippe Bernold;;;FR;Online
ITWL_bernold;Flute;Philippe Bernold;;;FR;Problème/ tech issue
ITW_2023_02_Aleksandar_Madzar;Piano;Aleksandar Madzar;;;;
