Filename;Instrument;Professeur;Nom compositeur;Titre de l'œuvre;Langue;Status
2022_10_25_04_1;Violon;Ning Feng;Niccolò Paganini;Concerto_No1;EN;Online
2022_07_29_04_1;Flute;Sophie Cherrier;Arthur Honegger;Danse de la chèvre, H.39;FR;A post-produire (Olivier)
2022_07_22_02_3;Flute;Vincent Lucas;Maurice Ravel;Daphnis & Chloé (orchestral excerpts);EN;Stand by
2021_04_12_03;Chant;François Le Roux;Albert Roussel;Deux poèmes chinois;FR;Online
2021_11_03_04_1;Violoncelle;Anne Gastinel;Franz Schubert;Die Forelle / An Die Muzik;EN;Online
2020_10_6_2;Piano;Claire-Marie Le Guay;Henri Dutilleux;D'ombre et de silence, Prelude 1;FR;Online
2022_04_13_05_1;Chant;Jean-Paul Fouchécourt;Maurice Ravel;Don Quichotte à Dulcinée;FR;Online
2022_08_02_01_1;Guitar;Tristan Manoukian;Hans Wermer Henze;Drei Tentos 1er mvt;FR;Stand by
2022_08_02_01_2;Guitar;Tristan Manoukian;Hans Wermer Henze;Drei Tentos 2 mvt;FR;Stand by
2021_02_18_03;Alto;Isabel Charisius;Wilhelm Friedemann Bach;Duet for Two Violas in G Major;EN;Online
2021_02_09_05;Trombone;Jacques Mauger;Leonard Bernstein;Elegy for Mippy II;FR;Online
2021_02_10_07;Trombone;Jacques Mauger;Leonard Bernstein;Elegy for Mippy II;FR;Online
2022_02_11_04_1;Piano;Marie-Josèphe Jude;Claude Debussy;"Estampes, ""Soirée dans Grenade""";FR;Online
2022_02_21_04_1;Piano;Finghin Collins;Frédéric Chopin;"Etude Op. 25 No. 12, ""Ocean""";EN;Online
2022_07_20_03_1;Piano;Akiko Ebi;Aleksandr Scriabin;Etude op.8 no.2;EN;Problème/ tech issue
2021_11_05_03_1;Piano;Dénes Várjon;Frédéric Chopin;Études;EN;Online
2022_10_23_08_1;Piano;Nelson Goerner;György Ligeti;Etudes 4 : Fanfares;EN;A post-produire (Olivier)
2022_08_04_03_1;Piano;Jonas Vitaud;Franz Liszt;Études d'exécution transcendante, S.139  3. Paysage (F major);FR;A post-produire (Olivier)
2022_02_22_05_1;Violon;Olivier Charlier;Eugène Ysaÿe;Extase, Op. 21;EN;Online
2023_02_09_04_01;Voix;Antoine PALLOC;Giuseppe VERDI;Falstaff;Anglais;
2022_03_27_04_1;Flute;Philippe Bernold;François Borne;Fantaisie brillante sur 'Carmen,' 1st part;FR;Online
2022_03_27_04_2;Flute;Philippe Bernold;François Borne;Fantaisie brillante sur 'Carmen', 2nd part;FR;Online
2022_03_28_03_1;Flute;Philippe Bernold;Georges Hüe;Fantaisie for flute and piano;FR;Online
2022_07_29_02_1;Flute;Sophie Cherrier;Philippe Gaubert;Fantaisie for Flute and Piano;FR;A post-produire (Olivier)
2021_02_10_04;Trombone;Jacques Mauger;Zygmunt Stojowski;Fantaisie, Op. 27;FR;Online
2022_07_27_06_1;Flute;Soyoung Lee;Gabriel Fauré;Fantaisie, Op.79;;A post-produire (Olivier)
2022_03_26_04_1;Piano;Michel Béroff;Franz Liszt;Fantasia and Fugue on the Theme B.A.C.H., S.529;EN;Online
